ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Dependents,Property_Area,Loan_Status
68866,90947,2311391,1,0,Semiurban,1
142145,90947,2666903,1,0,Urban,1
85499,90947,1336247,1,1,Urban,1
93243,90947,4700276,0,0,Rural,0
135779,0,5817842,1,1,Urban,1
158932,90947,1284501,1,0,Rural,1
97946,90947,6730052,1,1,Semiurban,1
133353,90947,3627783,1,2,Urban,1
32670,0,6277631,0,0,Rural,1
99766,90947,4049289,1,0,Urban,1
187352,90947,6382441,1,0,Urban,1
104694,0,1008106,0,2,Urban,0
181133,0,3230898,1,1,Urban,0
65764,90947,533631,1,1,Rural,1
130164,0,845141,1,0,Rural,1
38810,90947,1187597,1,1,Urban,1
124660,90947,2939208,1,3,Rural,1
105894,90947,4052818,1,1,Urban,1
191660,90947,2407823,1,0,Urban,1
30933,0,6711016,1,0,Rural,0
176106,90947,1020394,1,0,Rural,1
16947,90947,121230,1,0,Rural,1
34715,0,774189,1,0,Urban,1
45956,90947,6990259,0,0,Urban,1
95846,90947,5991262,1,3,Rural,1
31303,0,325421,1,0,Urban,1
128318,90947,1503354,0,1,Rural,0
39031,90947,1006564,0,1,Semiurban,0
109786,90947,3774169,1,0,Semiurban,1
102389,90947,4565713,1,3,Semiurban,1
164049,0,6809977,1,0,Rural,1
57707,90947,4608172,1,0,Semiurban,1
160537,90947,1707107,0,3,Rural,1
90761,0,2817343,1,0,Urban,1
162712,90947,5502666,1,0,Semiurban,1
46535,90947,2914888,1,0,Semiurban,1
185352,0,5301590,1,1,Semiurban,1
17991,90947,4205119,1,1,Rural,0
163873,90947,2045093,1,0,Semiurban,1
104680,90947,3537349,1,1,Semiurban,1
22965,0,3154611,1,2,Semiurban,0
159802,90947,587406,1,0,Semiurban,1
44553,90947,4642388,1,0,Semiurban,1
133802,0,3607889,1,3,Rural,1
23301,90947,6804120,1,1,Urban,1
33936,90947,1994916,1,0,Urban,1
160227,0,6367801,1,1,Urban,1
142978,90947,5298966,1,0,Rural,1
142230,90947,927008,1,3,Urban,1
63848,0,346395,0,0,Rural,0
17042,90947,6669026,1,3,Semiurban,1
164637,0,574834,0,3,Rural,0
193674,0,503535,1,1,Semiurban,1
52260,0,910915,1,0,Rural,1
51326,0,2099653,1,0,Urban,1
57581,90947,434770,0,0,Rural,1
149730,90947,3984517,1,0,Urban,1
96855,0,4331746,0,0,Semiurban,0
99614,0,4646447,0,0,Urban,0
117188,0,2845728,0,0,Urban,0
183620,90947,219653,0,0,Semiurban,0
165740,90947,231486,1,0,Semiurban,1
186357,0,3961320,1,0,Urban,1
168618,0,6392840,1,1,Semiurban,1
52874,0,6129737,1,1,Rural,1
66318,90947,146545,1,2,Rural,1
52165,90947,1366797,1,2,Rural,1
71820,90947,3703621,1,1,Semiurban,1
60411,90947,3777245,1,0,Rural,1
100312,90947,652293,1,1,Semiurban,0
51479,90947,3198298,1,2,Semiurban,1
135567,90947,6560173,1,0,Semiurban,1
114890,0,728630,1,0,Urban,1
54906,90947,3775886,0,0,Semiurban,0
144523,0,2577751,1,0,Rural,1
88198,90947,6557496,1,0,Rural,1
87940,90947,4011779,1,3,Urban,1
188677,90947,4140912,1,0,Semiurban,1
24542,0,4521382,1,0,Rural,0
42774,0,4643913,0,3,Semiurban,0
154628,90947,6680569,0,3,Semiurban,0
192195,90947,734079,1,1,Rural,1
93342,90947,997858,0,0,Semiurban,0
132887,90947,1901116,0,0,Rural,0
188658,90947,1638400,1,0,Urban,1
141081,0,4796186,1,3,Semiurban,1
29864,90947,4806183,1,0,Semiurban,1
110552,0,2876323,0,0,Semiurban,0
73989,0,1892177,1,0,Semiurban,1
71093,90947,4945031,0,0,Rural,0
48749,90947,2623665,1,3,Semiurban,1
74739,90947,2696569,1,0,Rural,1
189068,0,4148374,1,2,Rural,0
32305,0,1200113,1,1,Rural,1
92474,90947,6104861,1,1,Urban,1
31318,0,5477202,0,2,Rural,1
67810,90947,4716786,1,3,Rural,1
141662,90947,4608850,1,0,Semiurban,1
136752,90947,5752078,1,0,Semiurban,1
183892,0,4765986,1,1,Rural,1
76800,0,5880224,1,1,Semiurban,0
85942,0,3747062,1,0,Rural,1
35661,90947,840567,1,0,Rural,1
98394,90947,701044,1,0,Rural,1
45816,0,4902266,1,1,Rural,0
27850,0,175961,1,0,Semiurban,1
185938,90947,6532972,1,0,Semiurban,1
172716,0,3989975,1,0,Rural,1
67919,90947,3212971,1,0,Urban,1
42428,90947,5248941,1,0,Rural,1
120023,0,6010776,1,3,Rural,1
129160,0,2444416,1,1,Urban,1
121898,0,5806899,1,1,Rural,1
179452,90947,3253646,1,1,Urban,1
87822,90947,381460,1,3,Semiurban,1
90604,0,3219571,1,1,Rural,1
149089,90947,3036024,1,1,Semiurban,0
24926,0,1064171,1,0,Urban,1
59508,90947,4837546,0,1,Semiurban,0
169558,90947,485016,1,0,Rural,1
140799,90947,6848087,1,0,Urban,1
110933,90947,912871,1,0,Urban,1
175583,90947,4016499,1,0,Urban,1
140030,0,5249541,1,0,Rural,1
129541,90947,5165059,1,0,Urban,1
25002,90947,6935354,1,1,Rural,1
63586,90947,6827324,1,3,Urban,1
83737,90947,4251732,0,1,Rural,0
144157,90947,4697584,1,3,Urban,1
42048,0,1647337,1,0,Rural,1
186396,0,5079186,1,1,Semiurban,1
142912,90947,3544455,0,1,Semiurban,0
94517,90947,1698682,1,0,Urban,0
160597,90947,4934120,1,0,Semiurban,1
136443,90947,5775717,1,0,Semiurban,1
67634,0,5591020,1,0,Semiurban,0
76491,90947,5754624,1,1,Urban,1
137416,90947,658257,0,0,Rural,0
20565,90947,3366021,1,3,Semiurban,1
95483,90947,2586480,1,0,Rural,1
121234,0,4421305,1,2,Semiurban,1
87053,90947,5095869,1,3,Semiurban,1
29287,90947,4865733,1,3,Semiurban,1
92365,0,1467568,1,3,Urban,1
148494,0,5987875,1,2,Rural,1
44060,0,6294309,0,0,Rural,0
56633,90947,5580603,1,3,Urban,1
120251,90947,1531102,1,0,Semiurban,1
28790,0,6726746,1,3,Rural,0
146059,90947,5018381,1,3,Rural,1
171240,90947,6719470,1,0,Urban,1
170091,0,6575331,0,1,Semiurban,0
189811,90947,4646418,1,0,Semiurban,1
18668,0,5458868,1,0,Urban,0
91280,90947,1417395,0,0,Urban,0
43754,90947,5495392,1,3,Urban,1
100058,0,5799802,1,2,Rural,1
19509,90947,4467152,1,0,Semiurban,1
148572,90947,3873067,1,1,Semiurban,1
133981,90947,195632,1,0,Rural,1
90440,0,1873897,1,0,Rural,1
41921,0,5245037,1,0,Urban,1
69551,90947,5736812,1,2,Rural,1
31683,90947,5733173,1,0,Rural,1
92952,90947,4125064,1,0,Semiurban,1
29833,0,6684435,1,0,Urban,0
33290,90947,4352076,1,0,Urban,1
29003,90947,2677610,1,3,Semiurban,1
138086,0,6832111,1,0,Urban,1
86656,0,909353,1,0,Urban,1
56253,0,4247739,1,0,Urban,1
197097,90947,877887,1,1,Semiurban,1
103022,90947,5010248,1,0,Urban,1
168778,0,5180069,0,0,Urban,0
102231,90947,4846805,0,1,Urban,0
119791,90947,854104,1,3,Rural,1
188804,90947,5906416,1,0,Semiurban,1
47716,90947,4829781,1,1,Urban,1
21880,90947,4119645,1,0,Rural,1
43949,90947,1716652,1,0,Urban,1
81064,90947,5337714,1,2,Semiurban,1
58093,0,3777642,1,0,Urban,0
168916,0,2431588,1,0,Semiurban,0
168432,90947,6444012,1,1,Semiurban,1
102941,90947,2330261,1,1,Urban,1
142668,0,5334591,1,1,Rural,1
139240,0,4693830,1,0,Rural,1
58322,90947,5043575,1,1,Urban,1
166776,90947,5928803,1,0,Urban,1
198718,90947,3107334,1,2,Rural,1
63181,90947,258183,1,3,Urban,1
176661,0,2185125,1,3,Semiurban,1
102972,0,4947774,0,0,Rural,0
127431,0,3541953,1,0,Rural,1
105179,0,2197943,1,0,Urban,1
98562,90947,1640246,1,2,Urban,1
155284,90947,1698054,0,0,Urban,0
159922,0,409466,1,3,Rural,1
54767,90947,5295857,1,0,Semiurban,1
22322,90947,827260,1,0,Semiurban,1
50911,90947,1652369,1,1,Urban,1
192652,90947,2675585,1,0,Semiurban,1
196694,0,5818814,1,0,Rural,1
20678,0,4916485,1,1,Semiurban,0
80265,0,4406453,1,2,Semiurban,1
81918,0,5900765,1,0,Urban,0
167852,0,3877156,1,3,Rural,1
173578,90947,6759608,1,1,Rural,1
188368,90947,6576352,1,0,Urban,1
185954,90947,3818857,1,1,Rural,1
75510,90947,2259999,1,2,Semiurban,1
57202,0,6190194,1,2,Rural,0
147777,90947,3561236,1,1,Semiurban,1
102983,90947,542276,1,0,Semiurban,1
186802,90947,369160,1,0,Semiurban,1
105016,90947,6066564,0,3,Urban,0
46051,0,3478874,1,2,Urban,0
132282,90947,3009657,1,0,Semiurban,1
92665,0,6225238,1,2,Rural,0
139559,0,366746,1,0,Semiurban,1
196539,90947,166311,1,0,Rural,1
176857,0,2168944,1,1,Rural,1
137827,90947,6213070,1,2,Urban,1
44402,90947,2732685,1,1,Semiurban,1
17704,90947,1817140,1,0,Urban,1
42027,90947,6330138,1,0,Urban,1
74092,90947,5610725,1,0,Semiurban,1
20725,90947,5441922,1,1,Rural,1
79105,0,6147067,1,1,Urban,0
171295,90947,5960190,1,2,Semiurban,1
107305,90947,6006087,1,0,Semiurban,1
173456,90947,4735469,1,2,Rural,1
77993,90947,160587,1,0,Semiurban,0
112681,90947,2843829,1,0,Semiurban,1
123033,90947,664930,1,0,Semiurban,1
45027,0,1569396,1,3,Rural,1
158839,90947,1660330,1,3,Semiurban,1
102017,90947,4541762,1,0,Rural,0
33354,90947,5277032,1,0,Rural,1
63777,90947,4056766,1,0,Semiurban,1
167973,90947,3948737,1,3,Urban,1
64966,0,3174096,0,2,Semiurban,0
31515,0,5163977,0,0,Urban,0
170878,90947,2335101,1,0,Urban,1
113698,90947,4509832,1,3,Urban,0
18573,0,1115284,0,0,Urban,0
188013,90947,1046837,1,2,Urban,1
120410,90947,2887727,1,0,Semiurban,1
58915,90947,4173054,1,3,Urban,1
199852,90947,947501,1,3,Rural,1
20060,0,6688054,1,0,Semiurban,0
195166,0,1704030,0,3,Semiurban,0
144471,90947,5155779,1,3,Semiurban,1
70421,90947,1249279,1,2,Rural,1
60610,0,3933215,1,0,Urban,0
25933,90947,3781749,1,3,Urban,1
87168,90947,5959470,1,1,Rural,1
58898,90947,1015502,1,1,Semiurban,1
20589,90947,6070777,1,0,Urban,1
26612,90947,1698839,1,2,Rural,1
62611,90947,2662718,1,0,Rural,1
33888,0,1487945,1,3,Rural,1
34417,0,6011009,1,0,Semiurban,0
60440,90947,4583501,1,0,Urban,1
181816,90947,1168919,1,0,Rural,1
26891,0,6366432,1,3,Rural,1
87131,0,740752,1,1,Urban,1
77093,90947,4567772,1,0,Semiurban,1
196366,0,2153602,1,3,Semiurban,1
43557,0,6792189,1,0,Semiurban,1
126129,90947,4423405,1,0,Semiurban,1
98817,0,6763184,1,0,Semiurban,0
17192,90947,389369,1,0,Urban,0
191104,90947,5665643,1,2,Rural,1
195923,90947,5001800,1,0,Urban,0
188933,90947,314142,1,0,Semiurban,1
49946,90947,6784157,1,0,Urban,1
64884,0,339815,1,0,Rural,1
61360,90947,6420452,1,0,Urban,1
78252,90947,4112300,1,3,Urban,1
143651,0,2420924,0,0,Semiurban,0
56472,0,442305,1,0,Semiurban,1
50455,90947,4259948,1,0,Semiurban,1
43672,90947,3431445,1,2,Semiurban,1
18756,0,938839,1,3,Semiurban,0
121927,90947,246722,1,0,Urban,1
85030,0,1849021,1,0,Urban,1
73151,0,6643048,1,2,Semiurban,0
49047,0,3638851,1,1,Urban,0
148293,90947,3464877,1,3,Rural,1
20164,0,3415990,1,2,Semiurban,0
48622,90947,257234,1,0,Urban,1
50980,0,4253557,0,1,Semiurban,0
197810,90947,2568319,0,0,Rural,1
134528,90947,4890295,1,1,Rural,1
99688,0,2672625,1,0,Rural,1
169684,0,226111,1,0,Semiurban,1
93066,0,146908,1,1,Urban,1
134947,0,6368201,1,2,Rural,1
103660,0,1634977,1,2,Urban,1
123115,90947,1898985,1,0,Semiurban,1
48043,90947,516588,1,0,Urban,1
136886,90947,1131901,1,0,Semiurban,1
92831,0,5731136,1,3,Urban,1
81250,0,813592,1,0,Urban,1
184894,90947,2330109,0,0,Semiurban,0
81345,0,2282285,1,3,Urban,0
198950,90947,6947149,1,0,Urban,1
100898,90947,6371639,0,0,Rural,0
146108,90947,3527767,1,0,Rural,1
178474,0,1955116,1,0,Rural,1
105034,0,739015,1,3,Urban,1
108923,90947,3615889,1,1,Urban,1
25273,90947,2577445,1,0,Rural,1
171102,90947,4461568,1,1,Semiurban,1
142419,0,3800380,0,0,Urban,0
67460,90947,5497349,0,1,Semiurban,0
125803,90947,2435948,1,2,Semiurban,1
91939,90947,3542730,1,3,Urban,1
165111,0,4482925,1,2,Semiurban,1
29017,0,2265442,1,3,Urban,1
97901,0,5502845,0,2,Urban,0
128000,0,2003983,0,0,Rural,0
54215,0,3068854,1,3,Semiurban,1
27583,90947,6787659,1,0,Urban,1
178991,90947,6975946,1,1,Semiurban,1
62025,90947,1242861,1,0,Semiurban,1
190326,90947,3862481,0,0,Rural,1
192347,90947,165999,0,1,Urban,0
72943,0,387171,0,2,Rural,0
155586,90947,5109167,1,0,Urban,1
184488,90947,2982784,1,1,Rural,1
16511,90947,3894565,1,0,Semiurban,1
164714,90947,4443351,1,0,Urban,1
97151,90947,5252612,1,1,Semiurban,1
197966,90947,2683242,0,0,Urban,1
39225,90947,1646625,1,3,Rural,1
166918,0,4947379,1,0,Urban,1
44152,90947,2526759,1,1,Semiurban,1
121053,0,2168298,1,0,Rural,0
81107,0,4315097,1,0,Rural,1
196426,90947,4590426,1,2,Rural,1
139387,90947,269882,0,2,Semiurban,0
172260,90947,1552267,1,0,Urban,1
75910,90947,3057129,1,0,Semiurban,1
57530,0,3889550,1,0,Urban,0
93753,90947,1695975,1,1,Urban,1
56999,0,4910593,1,0,Semiurban,0
21609,90947,1587680,1,1,Urban,1
193469,90947,4370136,1,1,Urban,1
64322,0,2579523,1,0,Semiurban,1
20151,90947,3383283,0,2,Rural,0
21406,0,1560292,1,2,Rural,0
77678,90947,2702455,1,0,Urban,1
62062,90947,812429,1,1,Rural,1
179028,90947,6016312,1,0,Urban,1
126377,90947,6191824,1,0,Urban,1
68830,0,2909426,1,3,Semiurban,1
28133,0,6684959,1,3,Urban,1
27209,90947,3032070,1,3,Rural,1
124828,90947,6113305,1,2,Rural,1
89681,90947,3231872,1,2,Semiurban,1
69345,90947,5745520,1,2,Semiurban,1
57585,90947,3738564,1,2,Urban,1
49638,90947,1055906,0,2,Urban,0
35645,0,4773859,1,3,Semiurban,0
33408,0,3267797,1,1,Rural,0
27521,0,6919999,1,0,Semiurban,0
102414,90947,5355068,1,1,Semiurban,1
143432,90947,4223446,1,2,Semiurban,1
138520,90947,1189625,1,0,Urban,1
53221,90947,6507875,1,2,Urban,1
115131,0,3445797,0,0,Urban,0
167158,0,2356815,1,0,Semiurban,1
31923,90947,5246086,1,0,Rural,1
96761,0,1345077,1,2,Rural,1
22202,90947,3295308,1,2,Urban,1
110675,0,4833784,1,2,Urban,1
183278,90947,4034040,1,0,Urban,1
165957,90947,1469307,1,0,Semiurban,1
125443,90947,4769491,1,0,Urban,1
26218,0,6105456,0,0,Urban,0
60692,0,3324983,1,2,Urban,1
198761,0,3210021,1,0,Urban,1
112148,0,3800396,0,0,Semiurban,0
21716,90947,2522854,1,3,Semiurban,1
31088,90947,1513357,0,3,Semiurban,0
46001,90947,1336580,1,1,Urban,1
168656,0,101979,1,3,Urban,1
146022,90947,5625064,1,0,Rural,1
19286,90947,5237806,0,0,Urban,0
150811,0,6543265,1,1,Urban,1
45158,0,4049396,0,3,Semiurban,0
115393,90947,4178298,1,0,Urban,1
20605,0,291286,1,1,Rural,1
71492,0,4006660,1,0,Urban,1
18321,0,4887236,1,0,Rural,1
190613,90947,3321550,1,0,Urban,1
197773,0,6925785,1,0,Rural,1
27170,0,3396758,1,1,Semiurban,1
71045,0,3998560,1,1,Urban,1
155005,0,310493,1,2,Semiurban,1
155978,0,5343095,1,1,Urban,0
125540,90947,1265494,0,1,Rural,0
169886,0,1600370,1,1,Urban,1
116101,0,4835088,1,3,Urban,1
15818,0,435011,1,1,Semiurban,1
23434,0,754731,1,3,Rural,1
136494,90947,5448722,0,1,Semiurban,0
45571,90947,5977217,1,2,Rural,1
55694,90947,6342268,1,2,Rural,1
109426,90947,4092530,1,3,Urban,1
133792,0,2293240,1,1,Urban,1
60485,0,5519466,1,0,Rural,0
158141,90947,420950,1,0,Semiurban,1
72198,0,1629214,1,2,Rural,1
113316,90947,4452244,1,0,Semiurban,1
184734,90947,2978279,0,1,Rural,0
103970,90947,1822938,1,1,Rural,1
198241,0,819290,1,0,Rural,1
87928,90947,714036,1,3,Semiurban,1
162174,0,3034552,1,0,Semiurban,1
179529,90947,5347249,1,0,Semiurban,1
102798,0,3415013,1,1,Rural,1
67290,0,2613510,1,2,Rural,1
137664,0,5305842,1,0,Urban,1
158004,0,4854919,1,0,Urban,1
26766,90947,4291018,1,2,Rural,1
103247,0,2538142,1,3,Semiurban,1
28292,0,3077045,1,0,Rural,0
193703,0,6224045,1,3,Rural,1
87944,90947,3292641,1,2,Urban,1
121446,0,4554729,1,0,Semiurban,1
49533,90947,5849332,1,1,Semiurban,1
95773,0,3995335,0,1,Semiurban,0
139433,0,4455844,1,0,Rural,1
151850,90947,1022619,1,1,Rural,1
50059,90947,2999690,1,0,Rural,1
137418,90947,1643674,1,2,Urban,1
150938,0,839303,1,0,Semiurban,1
88965,90947,1730231,1,1,Rural,0
75661,90947,3319908,0,0,Urban,0
58352,90947,3775240,1,1,Rural,1
125051,90947,1107934,0,0,Urban,0
103373,90947,3318993,0,0,Semiurban,0
196808,90947,2108385,1,0,Urban,1
49075,0,4260621,1,0,Semiurban,0
106931,90947,3482588,1,0,Rural,1
39104,90947,1697507,1,1,Urban,1
80827,90947,6338394,0,2,Semiurban,0
84222,0,1393110,0,0,Semiurban,0
147714,90947,6465687,0,1,Urban,0
112013,90947,1658886,1,3,Semiurban,1
77845,0,2159846,0,0,Urban,0
23769,0,4885006,1,1,Semiurban,0
110369,90947,4445999,1,1,Rural,1
65375,90947,5109089,0,2,Rural,0
178150,90947,2848768,1,1,Urban,1
27268,90947,5813370,1,0,Urban,1
156916,90947,5396778,1,0,Rural,1
89174,0,1115411,0,0,Urban,0
117677,90947,1859457,1,2,Semiurban,1
157305,90947,5838027,1,0,Semiurban,1
45496,90947,1818335,1,3,Semiurban,1
163878,90947,6026361,1,2,Rural,1
186398,90947,5975368,1,0,Semiurban,1
93807,90947,1558007,1,3,Urban,1
185585,0,1795316,1,1,Rural,1
197833,0,1750313,1,0,Rural,1
34465,0,1094651,1,0,Urban,1
185574,90947,6306778,1,0,Urban,1
154322,90947,5112085,1,0,Rural,1
75503,0,2337550,1,0,Rural,1
36310,90947,276314,0,0,Rural,0
145301,90947,3394690,1,3,Urban,1
108518,0,2530420,0,0,Urban,1
47206,0,5677509,1,0,Semiurban,0
24764,0,2762469,1,0,Urban,0
158914,90947,2825811,0,0,Semiurban,0
149048,90947,1284434,1,1,Semiurban,1
153498,90947,1872632,0,1,Rural,0
168959,90947,6366426,1,0,Rural,1
41710,90947,1193227,1,0,Semiurban,1
56387,90947,1233316,1,3,Rural,1
193542,90947,120661,1,3,Rural,1
152558,90947,4154481,1,0,Rural,0
185330,0,4232421,1,0,Semiurban,1
127418,90947,3256978,0,2,Rural,0
37623,0,2596692,1,2,Semiurban,0
38806,0,4857677,1,0,Semiurban,0
152045,90947,2408614,1,0,Urban,0
192287,90947,6085345,1,0,Semiurban,1
129162,90947,3633849,1,3,Rural,1
192011,0,5023892,1,0,Rural,1
175229,90947,956266,1,1,Semiurban,1
20521,90947,4022222,1,0,Urban,1
27891,90947,5124604,1,3,Rural,1
97331,90947,2218118,1,1,Semiurban,1
37474,0,5802358,1,0,Rural,1
172579,90947,5275556,1,0,Rural,1
25687,90947,621347,1,0,Semiurban,0
113550,90947,846359,1,2,Rural,1
157081,90947,5339665,1,1,Semiurban,1
103762,0,3381237,1,3,Semiurban,1
103484,90947,4025969,1,0,Semiurban,1
115475,0,2803662,1,1,Rural,1
59291,0,5428828,1,3,Rural,0
63296,90947,1067038,1,0,Rural,1
55225,90947,1224673,1,2,Rural,1
49828,90947,3003134,1,0,Rural,1
182174,0,5922543,1,2,Rural,1
48712,0,5377854,1,0,Urban,0
41823,0,6131850,0,3,Semiurban,1
151433,90947,1676755,1,0,Rural,1
106374,0,4562662,0,3,Semiurban,0
95174,90947,356196,1,3,Semiurban,1
53052,90947,2110879,0,0,Urban,0
38265,90947,6325110,0,3,Rural,0
105287,90947,5915057,1,0,Rural,1
57012,0,6781136,1,2,Semiurban,1
25916,90947,5356693,1,0,Semiurban,1
140462,90947,5948917,1,3,Rural,1
90045,90947,3921719,1,2,Semiurban,1
191604,0,1510666,1,0,Urban,0
193731,0,1083853,1,3,Urban,1
104860,0,2069009,1,0,Semiurban,1
160075,0,768812,1,0,Semiurban,1
57634,90947,4829747,1,1,Urban,1
110479,0,5712790,1,0,Urban,1
89992,0,4621926,1,0,Semiurban,1
26369,0,6792443,1,0,Rural,1
34329,90947,6772869,1,3,Rural,1
101700,0,3592422,1,0,Urban,1
117960,0,4817007,1,0,Semiurban,1
27410,0,5980297,1,1,Semiurban,0
175802,0,2658489,1,0,Semiurban,1
148737,90947,2968831,1,2,Urban,1
185971,90947,5792414,1,1,Semiurban,1
183775,90947,2376230,0,1,Rural,0
170244,90947,4015330,0,0,Urban,0
17684,0,965484,0,2,Rural,0
165822,0,1471829,1,1,Semiurban,1
34887,90947,6721300,1,0,Rural,0
166898,90947,413808,1,0,Rural,1
152252,0,5712850,1,0,Semiurban,1
61779,0,1120782,0,1,Urban,0
83095,0,492118,1,1,Rural,1
186977,90947,6493251,1,0,Rural,1
142510,90947,2559906,1,2,Semiurban,1
116261,0,1221548,1,0,Rural,1
71068,90947,3583532,1,1,Rural,1
33113,0,5982040,1,1,Rural,0
57861,90947,256993,1,1,Rural,1
93487,0,720122,1,0,Rural,1
40617,90947,3912669,1,3,Semiurban,1
113330,90947,6838701,1,1,Rural,1
148655,0,1790787,1,0,Rural,1
41250,90947,469279,0,0,Urban,0
18055,90947,5142424,1,1,Semiurban,1
87337,0,452942,1,0,Rural,1
180498,0,4521620,1,0,Rural,1
142615,90947,2580613,1,1,Rural,1
117255,0,3251140,1,0,Semiurban,1
75532,0,1992692,1,3,Urban,1
104376,90947,2431226,0,2,Semiurban,0
24933,0,2380997,1,0,Semiurban,0
46979,0,3974181,1,0,Semiurban,0
60047,90947,4402496,1,0,Rural,1
19137,90947,1540011,0,2,Urban,0
26423,90947,2413309,1,3,Rural,1
104851,90947,291112,1,0,Semiurban,1
49482,90947,6134998,1,1,Rural,1
190228,0,3668424,1,1,Semiurban,1
67483,90947,3757357,1,2,Rural,1
49754,90947,2978986,1,0,Rural,1
182384,90947,5961554,1,0,Semiurban,1
38363,0,5945257,1,1,Semiurban,0
32085,90947,4549517,1,0,Semiurban,1
71889,0,1475362,1,1,Urban,1
117090,0,253073,1,0,Rural,1
94951,0,5840442,1,3,Urban,0
143227,0,1624156,1,1,Semiurban,1
144925,0,2243938,1,3,Rural,1
71414,0,966551,0,0,Semiurban,0
132159,90947,4891162,0,0,Semiurban,0
193124,90947,1454282,1,1,Urban,1
101934,90947,4140124,1,1,Semiurban,1
47691,0,288433,0,2,Semiurban,0
69697,90947,5535905,1,3,Urban,1
149116,0,4262248,1,0,Semiurban,1
18883,90947,6436456,1,3,Rural,1
46712,90947,1657116,1,1,Urban,1
128655,0,876852,1,0,Rural,1
36545,90947,230355,0,0,Rural,0
33204,0,242932,1,0,Rural,1
38268,0,1816326,1,3,Semiurban,1
99383,90947,101331,1,1,Semiurban,1
182211,90947,3868434,1,0,Semiurban,1
134755,0,3693151,1,0,Semiurban,1
111940,0,6144200,1,0,Rural,1
43436,90947,2690126,1,3,Rural,1
150197,0,6318070,0,2,Semiurban,0
187606,90947,497691,1,2,Urban,1
113524,0,1102696,0,1,Urban,0
101842,90947,5665009,1,3,Semiurban,1
57973,90947,5235145,1,3,Rural,1
91369,90947,6907893,1,0,Rural,0
102533,0,3158251,1,0,Urban,1
48521,90947,756686,1,1,Semiurban,1
153560,90947,6112197,1,0,Rural,1
54974,90947,2761269,1,0,Rural,1
138900,90947,4795722,1,1,Semiurban,1
57448,0,1271328,0,2,Rural,0
22938,90947,6810182,1,0,Rural,1
197185,0,364037,1,0,Semiurban,1
119262,90947,4227456,1,3,Rural,1
161842,90947,6585357,1,0,Rural,1
198707,0,6952788,1,1,Semiurban,1
64934,0,1478672,1,0,Semiurban,1
80526,0,5713159,1,0,Semiurban,1
112204,90947,5139137,1,0,Semiurban,1
36487,90947,4269339,1,1,Semiurban,1
199391,0,1200111,1,0,Rural,1
27869,0,418112,1,0,Semiurban,1
186869,90947,6958525,1,0,Rural,1
129576,90947,1289278,0,1,Semiurban,0
97209,0,6914671,1,1,Semiurban,1
97299,90947,1439743,0,0,Urban,0
59933,90947,6598500,1,0,Semiurban,1
91579,90947,1036622,1,0,Urban,1
155642,0,5754303,0,2,Urban,0
152958,90947,6548844,1,3,Rural,1
189159,0,5772648,0,1,Rural,0
105177,90947,5315577,1,0,Urban,1
82719,90947,6897049,1,0,Rural,1
109606,90947,3129880,1,1,Rural,1
149846,90947,3774257,1,0,Semiurban,1
44018,90947,6414551,1,3,Urban,1
100839,0,2555945,1,1,Urban,1
160344,90947,6241661,1,1,Rural,1
168658,0,943302,1,1,Semiurban,1
48545,90947,4274899,1,0,Rural,1
17566,0,2696170,1,0,Urban,0
91489,0,599825,1,0,Rural,1
80355,90947,5811443,1,3,Urban,1
177768,0,2335570,1,0,Urban,1
87940,90947,3146590,1,0,Semiurban,1
141731,0,2907368,1,2,Semiurban,1
113382,0,5832143,1,3,Rural,1
186807,90947,6578031,1,1,Semiurban,1
138865,0,3016707,0,3,Semiurban,0
196709,90947,2677413,1,0,Semiurban,1
37129,0,2886273,0,0,Urban,0
45845,90947,2980863,1,0,Semiurban,0
94449,0,1119967,1,3,Urban,1
25739,0,691068,1,0,Urban,1
148745,90947,1845007,1,3,Rural,1
46171,90947,4459272,1,1,Urban,1
104179,0,6069574,1,3,Urban,1
115022,90947,2678170,1,0,Semiurban,1
156696,0,4566018,1,1,Rural,1
123906,90947,987006,0,1,Semiurban,0
67930,90947,4583183,1,0,Semiurban,1
180680,0,2961835,1,2,Rural,1
64649,90947,3041710,1,3,Urban,1
165761,0,3649962,1,0,Semiurban,1
78503,90947,2496133,1,3,Semiurban,1
188196,90947,4004483,0,1,Semiurban,0
131659,90947,5558929,1,1,Rural,1
111875,90947,5793017,1,3,Semiurban,1
153659,90947,5800974,0,1,Semiurban,0
149599,90947,325611,0,0,Semiurban,0
179139,0,6927618,1,2,Urban,1
66538,0,6905670,1,0,Semiurban,0
52455,90947,3598650,1,0,Rural,1
35243,0,1961232,1,3,Urban,1
138793,90947,6695028,1,1,Rural,1
178765,90947,4702644,0,0,Semiurban,0
126371,90947,6648291,1,1,Urban,1
84231,0,1770328,0,2,Rural,0
89648,90947,1667067,1,2,Semiurban,1
47059,90947,5171799,0,0,Urban,0
87778,90947,2619164,1,0,Semiurban,1
90477,90947,126476,1,0,Urban,1
70283,90947,6050475,1,0,Rural,1
78853,90947,2179507,1,2,Rural,1
35001,90947,6103546,1,0,Urban,1
17700,90947,204003,1,0,Semiurban,1
196229,90947,663651,0,0,Semiurban,0
164157,0,2994476,1,0,Semiurban,1
132990,0,4940229,0,3,Semiurban,0
